position,member.id,member.first_name,member.last_name,member.country.code,member.country.label,member.country.iso_alpha_2,member.group.code,member.group.label,member.group.short_label
VotePosition.DID_NOT_VOTE,204449,Riho,TERRAS,EST,Estonia,EE,EPP,European People’s Party,EPP
VotePosition.FOR,197831,Hermann,TERTSCH,ESP,Spain,ES,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,197667,Barbara,THALER,AUT,Austria,AT,EPP,European People’s Party,EPP
VotePosition.FOR,250918,François,THIOLLET,FRA,France,FR,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,96776,Róża,THUN UND HOHENSTEIN,POL,Poland,PL,RENEW,Renew Europe,Renew
VotePosition.FOR,197591,Irene,TINAGLI,ITA,Italy,IT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.AGAINST,197559,Grzegorz,TOBISZOWSKI,POL,Poland,PL,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,197402,Tomas,TOBÉ,SWE,Sweden,SE,EPP,European People’s Party,EPP
VotePosition.FOR,28340,Patrizia,TOIA,ITA,Italy,IT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,197547,Irène,TOLLERET,FRA,France,FR,RENEW,Renew Europe,Renew
VotePosition.FOR,197672,Eugen,TOMAC,ROU,Romania,RO,EPP,European People’s Party,EPP
VotePosition.AGAINST,96697,Waldemar,TOMASZEWSKI,LTU,Lithuania,LT,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,125104,Romana,TOMC,SVN,Slovenia,SI,EPP,European People’s Party,EPP
VotePosition.FOR,124700,Jana,TOOM,EST,Estonia,EE,RENEW,Renew Europe,Renew
VotePosition.FOR,114268,Nils,TORVALDS,FIN,Finland,FI,RENEW,Renew Europe,Renew
VotePosition.FOR,97236,Marie,TOUSSAINT,FRA,France,FR,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.DID_NOT_VOTE,197580,Isabella,TOVAGLIERI,ITA,Italy,IT,ID,Identity and Democracy,ID
VotePosition.FOR,96713,Evžen,TOŠENOVSKÝ,CZE,Czechia,CZ,ECR,European Conservatives and Reformists,ECR
VotePosition.AGAINST,197894,László,TRÓCSÁNYI,HUN,Hungary,HU,NI,Non-attached Members,Non-attached
VotePosition.FOR,197665,Dragoş,TUDORACHE,ROU,Romania,RO,RENEW,Renew Europe,Renew
VotePosition.DID_NOT_VOTE,198183,Mihai,TUDOSE,ROU,Romania,RO,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.AGAINST,27714,Edina,TÓTH,HUN,Hungary,HU,NI,Non-attached Members,Non-attached
VotePosition.AGAINST,197763,Milan,UHRÍK,SVK,Slovakia,SK,NI,Non-attached Members,Non-attached
VotePosition.FOR,124705,István,UJHELYI,HUN,Hungary,HU,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.DID_NOT_VOTE,131507,Miguel,URBÁN CRESPO,ESP,Spain,ES,GUE_NGL,The Left in the European Parliament – GUE/NGL,GUE/NGL
VotePosition.DID_NOT_VOTE,96698,Viktor,USPASKICH,LTU,Lithuania,LT,NI,Non-attached Members,Non-attached
VotePosition.FOR,197810,Nils,UŠAKOVS,LVA,Latvia,LV,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,28617,Inese,VAIDERE,LVA,Latvia,LV,EPP,European People’s Party,EPP
VotePosition.FOR,5729,Kathleen,VAN BREMPT,BEL,Belgium,BE,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,125106,Johan,VAN OVERTVELDT,BEL,Belgium,BE,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,197870,Kim,VAN SPARRENTAK,NLD,Netherlands,NL,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.FOR,124934,Monika,VANA,AUT,Austria,AT,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.AGAINST,185771,Tom,VANDENDRIESSCHE,BEL,Belgium,BE,ID,Identity and Democracy,ID
VotePosition.FOR,129164,Tom,VANDENKENDELAERE,BEL,Belgium,BE,EPP,European People’s Party,EPP
VotePosition.FOR,239257,Achille,VARIATI,ITA,Italy,IT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,130100,Hilde,VAUTMANS,BEL,Belgium,BE,RENEW,Renew Europe,Renew
VotePosition.FOR,197502,Marie-Pierre,VEDRENNE,FRA,France,FR,RENEW,Renew Europe,Renew
VotePosition.FOR,96756,Sabine,VERHEYEN,DEU,Germany,DE,EPP,European People’s Party,EPP
VotePosition.FOR,97058,Guy,VERHOFSTADT,BEL,Belgium,BE,RENEW,Renew Europe,Renew
VotePosition.AGAINST,125001,Harald,VILIMSKY,AUT,Austria,AT,ID,Identity and Democracy,ID
VotePosition.AGAINST,197827,Idoia,VILLANUEVA RUIZ,ESP,Spain,ES,GUE_NGL,The Left in the European Parliament – GUE/NGL,GUE/NGL
VotePosition.FOR,197571,Nikolaj,VILLUMSEN,DNK,Denmark,DK,GUE_NGL,The Left in the European Parliament – GUE/NGL,GUE/NGL
VotePosition.ABSTENTION,98582,Loránt,VINCZE,ROU,Romania,RO,EPP,European People’s Party,EPP
VotePosition.FOR,199941,Marianne,VIND,DNK,Denmark,DK,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,124726,Henna,VIRKKUNEN,FIN,Finland,FI,EPP,European People’s Party,EPP
VotePosition.AGAINST,124875,Anders,VISTISEN,DNK,Denmark,DK,ID,Identity and Democracy,ID
VotePosition.FOR,197844,Petar,VITANOV,BGR,Bulgaria,BG,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,197451,Viola,VON CRAMON-TAUBADEL,DEU,Germany,DE,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
