obs,tb3,tb6,time,time2
2001M12,1.69000005722046,1.77999997138977,252,63504
2002M01,1.64999997615814,1.73000001907349,253,64009
2002M02,1.73000001907349,1.82000005245209,254,64516
2002M03,1.78999996185303,2.00999999046326,255,65025
2002M04,1.72000002861023,1.92999994754791,256,65536
2002M05,1.73000001907349,1.86000001430511,257,66049
2002M06,1.70000004768372,1.78999996185303,258,66564
2002M07,1.67999994754791,1.70000004768372,259,67081
2002M08,1.62000000476837,1.60000002384186,260,67600
2002M09,1.62999999523163,1.60000002384186,261,68121
2002M10,1.58000004291534,1.55999994277954,262,68644
2002M11,1.23000001907349,1.26999998092651,263,69169
2002M12,1.19000005722046,1.24000000953674,264,69696
2003M01,1.16999995708466,1.20000004768372,265,70225
2003M02,1.16999995708466,1.17999994754791,266,70756
2003M03,1.12999999523163,1.12999999523163,267,71289
2003M04,1.12999999523163,1.13999998569489,268,71824
2003M05,1.07000005245209,1.08000004291534,269,72361
2003M06,0.920000016689301,0.920000016689301,270,72900
2003M07,0.899999976158142,0.949999988079071,271,73441
2003M08,0.949999988079071,1.02999997138977,272,73984
2003M09,0.939999997615814,1.00999999046326,273,74529
2003M10,0.920000016689301,1,274,75076
2003M11,0.930000007152557,1.01999998092651,275,75625
2003M12,0.899999976158142,0.990000009536743,276,76176
2004M01,0.879999995231628,0.97000002861023,277,76729
2004M02,0.930000007152557,0.990000009536743,278,77284
2004M03,0.939999997615814,0.990000009536743,279,77841
2004M04,0.939999997615814,1.0900000333786,280,78400
2004M05,1.01999998092651,1.30999994277954,281,78961
2004M06,1.26999998092651,1.60000002384186,282,79524
2004M07,1.33000004291534,1.6599999666214,283,80089
2004M08,1.48000001907349,1.72000002861023,284,80656
2004M09,1.64999997615814,1.87000000476837,285,81225
2004M10,1.75999999046326,2,286,81796
2004M11,2.0699999332428,2.26999998092651,287,82369
2004M12,2.19000005722046,2.4300000667572,288,82944
2005M01,2.32999992370605,2.60999989509583,289,83521
2005M02,2.53999996185303,2.76999998092651,290,84100
2005M03,2.74000000953674,3,291,84681
2005M04,2.77999997138977,3.04999995231628,292,85264
2005M05,2.83999991416931,3.07999992370605,293,85849
2005M06,2.97000002861023,3.13000011444092,294,86436
2005M07,3.22000002861023,3.42000007629395,295,87025
2005M08,3.44000005722046,3.66000008583069,296,87616
2005M09,3.42000007629395,3.67000007629395,297,88209
2005M10,3.71000003814697,3.99000000953674,298,88804
2005M11,3.88000011444092,4.15000009536743,299,89401
2005M12,3.89000010490417,4.17999982833862,300,90000
2006M01,4.23999977111816,4.30999994277954,301,90601
2006M02,4.42999982833862,4.51999998092651,302,91204
2006M03,4.51000022888184,4.61999988555908,303,91809
2006M04,4.59999990463257,4.71999979019165,304,92416
2006M05,4.71999979019165,4.82000017166138,305,93025
2006M06,4.78999996185303,4.96999979019165,306,93636
2006M07,4.94999980926514,5.05999994277954,307,94249
2006M08,4.96000003814697,4.96999979019165,308,94864
2006M09,4.80999994277954,4.8899998664856,309,95481
2006M10,4.92000007629395,4.92000007629395,310,96100
